2025-08-01 09:18:54 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 17 - Optical Flow
2025-08-01 09:18:54 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:54 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:54 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 18 - Optical Flow
2025-08-01 09:18:54 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 19 - Optical Flow
2025-08-01 09:18:54 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 17 - Deep Learning
2025-08-01 09:18:54 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 19 - Deep Learning
2025-08-01 09:18:54 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 18 - Deep Learning
2025-08-01 09:18:54 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:54 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:54 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | DEBUG    | debug:85 | Carga alta - pulando deep learning
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 20 - Optical Flow
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | DEBUG    | debug:85 | Frame 20 - Pulando Deep Learning
